26013	心猿意马
20511	碱性
29480	2006
19052	128G
36268	久保带人
15597	坊子区
14648	婺城区
14517	广东省
23839	700倍
29320	1988年
37619	天津大学
17276	劳伦斯
32940	仗义执言
13013	小调
30788	尹汝贞
35578	内蒙古自治区
36105	遁入空门
38438	1991年
22499	风火轮
37689	8个
10659	劝百讽一
32864	安徽
16043	福建省
14777	徐汇区
20639	刘谦
33567	甜蜜暴击
28540	15克
18439	2001年
38162	三个
24584	菊花
31550	维生素
28355	43集
34388	24日
25334	越南
38906	11.7寸
27998	法国
25787	曹植
16106	三生三世十里桃花
20711	吴映洁
11182	云南省
22241	2005年
21654	赵今麦
23414	北京电影学院
10682	高尔基
17961	11月9日
11173	太仓市
28591	哈迪斯
14874	湖南
36581	宁德
27846	山西省
28794	1993年12月8日
28175	5.2英寸
30353	靳东
24794	徐誉滕
10093	开封
11733	蒲星宇
18112	邱淑贞
25246	睡在我上铺的兄弟
20547	亚里士多德
22780	迪卡普里奥
23353	海南省
22254	老子
27253	始于足下
27819	水蛭
20144	木已成舟
32334	杨先生
29466	化合反应
38390	5个
19070	灯塔水母
30615	瑞士
26735	唐磊
13571	特拉维夫
20315	白宇
29998	嘉兴市
39959	42
39451	华山
11237	浦东新区
24682	1949年
38988	全国人民代表大会
15641	1949年
33440	15集
11558	唐代
19262	费孝通
18251	1928年
15687	河北省
25600	三年
37896	人有旦夕祸福
17887	吴兴区
32173	警中英雄
22791	海岩
39955	泉州市
32494	蒙恬
24924	pig
13201	辽宁省
38385	7画
20276	四川省
35203	201.2
34260	齐景公
25212	关羽
38903	财政局
11657	奥地利
24364	浦东新区
12468	1个
29100	5.5英寸
18992	结肠
17017	二级
38086	韭菜
36435	12分
16993	多瑙河
19105	京剧
18563	绝地
38849	80厘米=0.8米
37982	十六位
28231	9月29日
28370	绥化地区
23026	伽利略
22645	蜡梅
23688	维生素
35421	台湾海峡
38081	大腹便便
16084	上海市
23988	塔那那利佛
19159	邢台市
27460	异曲同工
36394	黑寡妇
35104	25000米
16171	汉书
39580	sb
26616	山西省
